#;Time;Function;Direction;Status;Data;Data (chars);Data length;Req. length;Port;Comments;
1830;20/08/2026 14:19:52;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);DOWN;STATUS_PENDING;;"";;;COM5;;
1831;20/08/2026 14:19:52;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);UP;STATUS_SUCCESS;00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ;"....................";20;;COM5;;
1832;20/08/2026 14:19:52;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_WAIT_ON_MASK);DOWN;STATUS_PENDING;;"";;;COM5;;
1833;20/08/2026 14:19:52;IRP_MJ_READ;DOWN;STATUS_PENDING;;"";;1;COM5;;
1834;20/08/2026 14:19:52;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_WAIT_ON_MASK);UP;STATUS_SUCCESS;01 00 00 00 ;"....";4;;COM5;;
1835;20/08/2026 14:19:52;IRP_MJ_READ;UP;STATUS_SUCCESS;00 ;".";1;;COM5;;
1836;20/08/2026 14:19:52;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);DOWN;STATUS_PENDING;;"";;;COM5;;
1837;20/08/2026 14:19:52;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);UP;STATUS_SUCCESS;00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ;"....................";20;;COM5;;
1838;20/08/2026 14:19:52;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_WAIT_ON_MASK);DOWN;STATUS_PENDING;;"";;;COM5;;
1839;20/08/2026 14:19:52;IRP_MJ_READ;DOWN;STATUS_PENDING;;"";;1;COM5;;
1840;20/08/2026 14:19:52;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_WAIT_ON_MASK);UP;STATUS_SUCCESS;01 00 00 00 ;"....";4;;COM5;;
1841;20/08/2026 14:19:52;IRP_MJ_READ;UP;STATUS_SUCCESS;0c ;".";1;;COM5;;
1842;20/08/2026 14:19:52;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);DOWN;STATUS_PENDING;;"";;;COM5;;
1843;20/08/2026 14:19:52;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);UP;STATUS_SUCCESS;00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ;"....................";20;;COM5;;
1844;20/08/2026 14:19:52;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_WAIT_ON_MASK);DOWN;STATUS_PENDING;;"";;;COM5;;
1845;20/08/2026 14:19:52;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);DOWN;STATUS_PENDING;;"";;;COM5;;
1846;20/08/2026 14:19:52;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);UP;STATUS_SUCCESS;00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ;"....................";20;;COM5;;
1847;20/08/2026 14:19:52;IRP_MJ_WRITE;DOWN;STATUS_PENDING;03 ;".";1;1;COM5;;
1848;20/08/2026 14:19:52;IRP_MJ_WRITE;UP;STATUS_SUCCESS;03 ;".";1;;COM5;;
1849;20/08/2026 14:19:52;IRP_MJ_READ;DOWN;STATUS_PENDING;;"";;1;COM5;;
1850;20/08/2026 14:19:52;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_WAIT_ON_MASK);UP;STATUS_SUCCESS;01 00 00 00 ;"....";4;;COM5;;
1851;20/08/2026 14:19:52;IRP_MJ_READ;UP;STATUS_SUCCESS;03 ;".";1;;COM5;;
1852;20/08/2026 14:19:52;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);DOWN;STATUS_PENDING;;"";;;COM5;;
1853;20/08/2026 14:19:52;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);UP;STATUS_SUCCESS;00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ;"....................";20;;COM5;;
1854;20/08/2026 14:19:52;IRP_MJ_WRITE;DOWN;STATUS_PENDING;09 ;".";1;1;COM5;;
1855;20/08/2026 14:19:52;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_WAIT_ON_MASK);DOWN;STATUS_PENDING;;"";;;COM5;;
1856;20/08/2026 14:19:52;IRP_MJ_WRITE;UP;STATUS_SUCCESS;09 ;".";1;;COM5;;
1857;20/08/2026 14:19:52;IRP_MJ_READ;DOWN;STATUS_PENDING;;"";;1;COM5;;
1858;20/08/2026 14:19:52;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_WAIT_ON_MASK);UP;STATUS_SUCCESS;01 00 00 00 ;"....";4;;COM5;;
1859;20/08/2026 14:19:52;IRP_MJ_READ;UP;STATUS_SUCCESS;09 ;".";1;;COM5;;
1860;20/08/2026 14:19:52;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);DOWN;STATUS_PENDING;;"";;;COM5;;
1861;20/08/2026 14:19:52;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);UP;STATUS_SUCCESS;00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ;"....................";20;;COM5;;
1862;20/08/2026 14:19:52;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_WAIT_ON_MASK);DOWN;STATUS_PENDING;;"";;;COM5;;
1863;20/08/2026 14:19:52;IRP_MJ_WRITE;DOWN;STATUS_PENDING;00 ;".";1;1;COM5;;
1864;20/08/2026 14:19:52;IRP_MJ_WRITE;UP;STATUS_SUCCESS;00 ;".";1;;COM5;;
1865;20/08/2026 14:19:52;IRP_MJ_READ;DOWN;STATUS_PENDING;;"";;1;COM5;;
1866;20/08/2026 14:19:52;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_WAIT_ON_MASK);UP;STATUS_SUCCESS;01 00 00 00 ;"....";4;;COM5;;
1867;20/08/2026 14:19:52;IRP_MJ_READ;UP;STATUS_SUCCESS;00 ;".";1;;COM5;;
